study_ID,long_cite,short_cite,INCLUDE?,peer_reviewed,coder,DirectRep,DirectRep_ReasonNo,expt_num,same_infant,expt_condition,native_lang,mono_bilingual,stimuli_type,test_lang_type,test_lang,test_lang_program,additional_cue,cue_conflict_TP,cue_conflict_Native,infant_type,mean_age_months,mean_age_1,mean_age_2,age_range_1,gender_1,n_1,n_2,group_name_1,group_name_2,n_excluded_1,fussers_1,exclusionCriteria,words,test_words,number_syllables,duration_syllables,ForwardTP_target,ForwardTP_nonword,frequency_balanced,familiarization_time,num_test_trials,duration_test_trial,method,exposure_phase,response_mode,dependent_measure,participant_design,HTP_x_1,SD_1,LTP_x_2,SD_2,corr,t,F,d,d_var,p_val_reported,reported_sig,proportion_preference,familiarity,Notes:,ResultValues_Checked?
GrafEstes2012,"Graf Estes, K. (2012). Infants generalize representations of statistically segmented words. Front. Psychol., 29, October 2012.",Graf Estes (2012),yes,yes,AKB,half,NA,1,1,Consistent,American English,not entirely mono,artificial,native,,natural,none,,,typical,11.1,337.884,,39.572,0.375,28,,,,10,8,"fussiness, listening time diffs bw words & pw that were over 2.5 SD from the mean","Lang 1: timay, dobu, gapi, moku; Lang 2: pimo, kuga, buti, maydo","timay, dobu, pimo, kuga",2,330,1,0.5,yes,330,16,20,CF,familiarization,behaviour,looking_time,within_two,,,,,,2.56,,0.31,,0.02,yes,0.7142857143,novelty,"fam voice = female; test voice (inconsistent condtion) = male. Fam and test in DIFFERENT rooms; 30 sec RE-FAMILIARIZATION while watching silent cartoon clip during re-fam; There was no main effect of condition and no main effect of trial type, F’s < 1. There was a significant interaction of condition by trial type, F(1, 54) = 12.4, p = 0.001, η2p=0.19; rest of paper is word learning so prob not comparable",yes
GrafEstes2012,"Graf Estes, K. (2012). Infants generalize representations of statistically segmented words. Front. Psychol., 29, October 2012.",Graf Estes (2012),yes,yes,AKB,no,different voice at test,1,2,Inconsistent,American English,not entirely mono,artificial,native,,natural,none,,,typical,11.1,337.884,,39.572,0.375,28,,,,9,9,"fussiness, listening time diffs bw words & pw that were over 2.5 SD from the mean","Lang 1: timay, dobu, gapi, moku; Lang 2: pimo, kuga, buti, maydo","timay, dobu, pimo, kuga",2,330,1,0.5,yes,330,16,20,CF,familiarization,behaviour,looking_time,within_two,,,,,,-2.41,,0.25,,0.02,yes,0.6071428571,familiarity,"fam voice = female; test voice (inconsistent condtion) = male. Fam and test in DIFFERENT rooms; 30 sec RE-FAMILIARIZATION while watching silent cartoon clip during re-fam; There was no main effect of condition and no main effect of trial type, F’s < 1. There was a significant interaction of condition by trial type, F(1, 54) = 12.4, p = 0.001, η2p=0.19",yes
HaySaffran2012,"Hay, J. F., & Saffran, J. R. (2012). Rhythmic grouping biases constrain infant statistical learning. Infancy, 17(6), 610-641.",Hay & Saffran (2012),yes,yes,LS/AKB,half,includes additional cue,1,1,intensity_trochaic,American English,mono,artificial,native,,MacInTalk,intensity,no,no,typical,9,273.96,,42.616,NA,22,,,,15.75,13.5,"fussiness, more than one trial of same test item, equipment failure","diti,bugo,dapu,dobi","dapu, dobi, godi, tibu",2,260,1,0.2-0.4,yes,180,12,20,HPP,familiarization,behavior,looking_time,within_two,,,,,,5.6,,0.99,,0.00,yes,0.8181818182,novelty,test stimuli were 300 ms no stress cues,yes
HaySaffran2012,"Hay, J. F., & Saffran, J. R. (2012). Rhythmic grouping biases constrain infant statistical learning. Infancy, 17(6), 610-641.",Hay & Saffran (2012),yes,yes,LS/AKB,half,includes additional cue,1,2,duration_trochaic,American English,mono,artificial,native,,MacInTalk,duration,no,no,typical,9,273.96,,42.616,NA,22,,,,15.75,13.5,"fussiness, more than one trial of same test item, equipment failure","diti,bugo,dapu,dobi","dapu, dobi, godi, tibu",2,173 OR 346,1,0.2-0.4,yes,180,12,20,HPP,familiarization,behavior,looking_time,within_two,,,,,,0.5,,0.04,,0.84,no,0.5,novelty,test stimuli were 300 ms no stress cues,yes
HaySaffran2012,"Hay, J. F., & Saffran, J. R. (2012). Rhythmic grouping biases constrain infant statistical learning. Infancy, 17(6), 610-641.",Hay & Saffran (2012),yes,yes,LS/AKB,no,"includes additional cue, cue opposite TP",1,3,intensity_iambic,American English,mono,artificial,native,,MacInTalk,intensity,yes,yes,typical,9,273.96,,42.616,NA,22,,,,15.75,13.5,"fussiness, more than one trial of same test item, equipment failure","diti,bugo,dapu,dobi","dapu, dobi, godi, tibu",2,260,1,0.2-0.4,yes,180,12,20,HPP,familiarization,behavior,looking_time,within_two,,,,,,1.4,,0.29,,0.18,no,0.6363636364,novelty,test stimuli were 300 ms no stress cues,yes
HaySaffran2012,"Hay, J. F., & Saffran, J. R. (2012). Rhythmic grouping biases constrain infant statistical learning. Infancy, 17(6), 610-641.",Hay & Saffran (2012),yes,yes,LS/AKB,no,"includes additional cue, cue opposite TP",1,4,duration_iambic,American English,mono,artificial,native,,MacInTalk,duration,yes,yes,typical,9,273.96,,42.616,NA,22,,,,15.75,13.5,"fussiness, more than one trial of same test item, equipment failure","diti,bugo,dapu,dobi","dapu, dobi, godi, tibu",2,173 OR 346,1,0.2-0.4,yes,180,12,20,HPP,familiarization,behavior,looking_time,within_two,,,,,,2.7,,0.58,,0.01,yes,0.7727272727,novelty,test stimuli were 300 ms no stress cues,yes
HaySaffran2012,"Hay, J. F., & Saffran, J. R. (2012). Rhythmic grouping biases constrain infant statistical learning. Infancy, 17(6), 610-641.",Hay & Saffran (2012),yes,yes,LS/AKB,half,includes additional cue,3,1,intensity_trochaic,American English,,artificial,native,,MacInTalk,intensity,no,no,typical,6.6,200.904,,27.396,NA,22,,,,7.25,5,"fussiness or crying, parental interference, not noticing lights, looking time average <3 sec to one or both sides","diti,bugo,dapu,dobi","dapu, dobi, godi, tibu",2,260,1,0.2-0.4,yes,180,12,20,HPP,familiarization,behavior,looking_time,within_two,,,,,,2.8,,0.61,,0.01,yes,0.7727272727,novelty,test stimuli were 300 ms no stress cues,yes
HaySaffran2012,"Hay, J. F., & Saffran, J. R. (2012). Rhythmic grouping biases constrain infant statistical learning. Infancy, 17(6), 610-641.",Hay & Saffran (2012),yes,yes,LS/AKB,half,includes additional cue,3,2,duration_trochaic,American English,,artificial,native,,MacInTalk,duration,no,no,typical,6.6,200.904,,27.396,NA,22,,,,7.25,5,"fussiness or crying, parental interference, not noticing lights, looking time average <3 sec to one or both sides","diti,bugo,dapu,dobi","dapu, dobi, godi, tibu",2,173 OR 346,1,0.2-0.4,yes,180,12,20,HPP,familiarization,behavior,looking_time,within_two,,,,,,1.3,,0.3,,0.18,no,NA,novelty,test stimuli were 300 ms no stress cues,yes
HaySaffran2012,"Hay, J. F., & Saffran, J. R. (2012). Rhythmic grouping biases constrain infant statistical learning. Infancy, 17(6), 610-641.",Hay & Saffran (2012),yes,yes,LS/AKB,no,"includes additional cue, cue opposite TP",3,3,intensity_iambic,American English,,artificial,native,,MacInTalk,intensity,yes,yes,typical,6.6,200.904,,27.396,NA,22,,,,7.25,5,"fussiness or crying, parental interference, not noticing lights, looking time average <3 sec to one or both sides","diti,bugo,dapu,dobi","dapu, dobi, godi, tibu",2,260,1,0.2-0.4,yes,180,12,20,HPP,familiarization,behavior,looking_time,within_two,,,,,,0.5,,0.00,,0.99,no,NA,novelty,test stimuli were 300 ms no stress cues,yes
HaySaffran2012,"Hay, J. F., & Saffran, J. R. (2012). Rhythmic grouping biases constrain infant statistical learning. Infancy, 17(6), 610-641.",Hay & Saffran (2012),yes,yes,LS/AKB,no,"includes additional cue, cue opposite TP",3,4,duration_iambic,American English,,artificial,native,,MacInTalk,duration,yes,yes,typical,6.6,200.904,,27.396,NA,22,,,,7.25,5,"fussiness or crying, parental interference, not noticing lights, looking time average <3 sec to one or both sides","diti,bugo,dapu,dobi","dapu, dobi, godi, tibu",2,173 OR 346,1,0.2-0.4,yes,180,12,20,HPP,familiarization,behavior,looking_time,within_two,,,,,,0.5,,0.17,,0.46,no,0.5,novelty,test stimuli were 300 ms no stress cues,yes
JohnsonJusczyk2001,"Johnson, E. K. & Jusczyk, P. W.Word segmentation by 8-month-olds: when speech cues count more than statistics. Journal of Memory and Language, 44, 2001",Johnson & Jusczyk (2001),yes,yes,AKB,yes,NA,1,1,TP,American English,mono,artificial,native,,natural,none,,,typical,8.015768725,244,,35,0.4375,16,,,,4,4,crying,"Lang A: pabiku, tibudo, golatu, daropi; :ang B: tudaro, pigola, bikuti, budopa","pabiku, tibudo, tudaro, pigola",3,273,1,0.33,no,147,12,19.785,HPP,familiarization,behaviour,looking_time,within_two,6.49,2.5,8.25,3.1,,,8.47,,,0.01,yes,0.81,novelty,273 for duration of syllables (highlighted in pink),yes
JohnsonJusczyk2001,"Johnson, E. K. & Jusczyk, P. W.Word segmentation by 8-month-olds: when speech cues count more than statistics. Journal of Memory and Language, 44, 2001",Johnson & Jusczyk (2001),yes,yes,AKB,no,"includes different cue, not aligned with TPs",2,1,Stress,American English,mono,artificial,native,,natural,stress,yes,,typical,8.114323259,247,,21,0.6875,16,,,,4,4,crying,"Lang A: pabiku, tibudo, golaTU, daroPI; :ang B: tudaro, pigola, bikuTI, budoPA","pabiku, tibudo, tudaro, pigola",3,273,1,0.33,no,147,12,19.785,HPP,familiarization,behaviour,looking_time,within_two,8,2.5,6.59,1.6,,,7.41,,,0.01,yes,0.6875,familiarity,interpreted as stress being weighed more than statistics / stressed sylllables only 15 x in familiarization; stressed syllables average 306 ms,yes
JohnsonJusczyk2001,"Johnson, E. K. & Jusczyk, P. W.Word segmentation by 8-month-olds: when speech cues count more than statistics. Journal of Memory and Language, 44, 2001",Johnson & Jusczyk (2001),yes,yes,AKB,no,"includes additional cue, cue opposite TP",3,1,Co-articulation,American English,mono,artificial,native,,natural,coarticulation,yes,yes,typical,7.982917214,243,,23,0.5,16,,,,6,6,crying,"Lang A: pabiku, tibudo, golatu(d), daropi(g); Lang B: tudaro, pigola, bikuti(b), budopa(b)","pabiku, tibudo, tudaro, pigola",3,273,1,0.33,no,147,12,19.785,HPP,familiarization,behaviour,looking_time,within_two,8.06,2.2,6.45,1.8,,,7.57,,,0.01,yes,0.75,familiarity,interpreted as coarticulation being weighed more than statistics; 2 PW tested is coarticulated during fam; not co-articulated at test,yes
JohnsonJusczyk2001,"Johnson, E. K. & Jusczyk, P. W.Word segmentation by 8-month-olds: when speech cues count more than statistics. Journal of Memory and Language, 44, 2001",Johnson & Jusczyk (2001),yes,yes,AKB,half,includes additional cue,4,1,Internal_Coarticulation,American English,mono,artificial,native,,natural,coarticulation,no,no,typical,7.884362681,240,,30,0.4,20,,,,6,6,crying,"Lang A: pa(b)biku, ti(b)budo, golatu, daropi; Lang B: tu(d)daro, pi(g)gola, bikuti, budopa","pabiku, tibudo, tudaro, pigola",3,273,1,0.33,no,147,12,19.785,HPP,familiarization,behaviour,looking_time,within_two,6,1.92,7.54,2.7,,,6.17,,,0.02,yes,0.75,novelty,"2 W coarticulated in fam, not at test",yes
JohnsonJusczyk2003b,"Johnson, E. K., & Jusczyk, P. W. (2003). Exploring statistical learning by 8-month-olds: The role of complexity and variation. Jusczyk Lab final report, 141-148.",Johnson & Jusczyk (2003)b,yes,no,AKB,yes,NA,1,1,mixed fam and test_trisyllables,American English,,artificial,native,,natural,none,,,typical,8.14717477,248,,30.44,0.541666667,24,,,,3,3,fussiness,"Language A: pabiku, tibudo, gola, tudaropi; Lang B: pigola, tudaro, biku, tibudopa","Lang A: pabiku, pitibu; gola; dotu Lang B: tudaro, papigo, biku, lati","2, 3, and 4",278,1,0.33,no,150,12,19.785,HPP,familiarization,behaviour,looking-time,within_two,7.18,2.4,7.44,2.9,,,,,,,,,novelty,"There was a significant effect of group, F(1, 22) = 5.06, p < .05.",yes
JohnsonJusczyk2003b,"Johnson, E. K., & Jusczyk, P. W. (2003). Exploring statistical learning by 8-month-olds: The role of complexity and variation. Jusczyk Lab final report, 141-148.",Johnson & Jusczyk (2003)b,yes,no,AKB,yes,NA,1,1,mixed fam and test_bisyllables,American English,,artificial,native,,natural,none,,,typical,8.14717477,248,,30.44,0.541666667,24,,,,3,3,fussiness,"Language A: pabiku, tibudo, gola, tudaropi; Lang B: pigola, tudaro, biku, tibudopa","Lang A: pabiku, pitibu; gola; dotu Lang B: tudaro, papigo, biku, lati","2, 3, and 4",278,1,0.33,no,150,12,19.785,HPP,familiarization,behaviour,looking-time,within_two,7.36,2.4,7.28,2.7,,,,,,,,,familiarity,,yes
JohnsonJusczyk2003b,"Johnson, E. K., & Jusczyk, P. W. (2003). Exploring statistical learning by 8-month-olds: The role of complexity and variation. Jusczyk Lab final report, 141-148.",Johnson & Jusczyk (2003)b,yes,no,AKB,yes,NA,2,1,"mixed fam, uniform test",American English,,artificial,native,,natural,none,,,typical,8.081471748,246,,38,0.541666667,24,,,,3,3,fussiness,"Language A: pabiku, tibudo, gola, tudaropi; Lang B: pigola, tudaro, biku, tibudopa","Lang A: pabiku, pitibu; gola; dotu Lang B: tudaro, papigo, biku, lati","2, 3, and 4",278,1,0.33,no,150,12,19.785,HPP,familiarization,behaviour,looking-time,within_two,6.6,2.2,7.3,1.9,,,,,,,,0.375,novelty,,yes
JohnsonSeidl2009,"Johnson, E. K., Seidl, A. H. (2009) At 11 months, prosody still outranks statistics. Developmental Science 12:1 pp 131-141",Johnson & Seidl (2009),yes,yes,GG,yes,NA,1,1,TP,American English,,artificial,native,,natural,none,,,typical,11.00525624,335,,38.05,0.5,20,,,,7.5,5,"fussiness, sleepiness or parental interference","Language A: golatu, daropi, pabiku, tibudo; Language B: tudaro, pigola, bikuti, budopa","pabiku, tibudo, tudaro, pigola",3,273,1,0.33,no,150,12,19.785,HPP,familiarization,behavior,looking_time,within_two,8.06,2.47,7.08,2.8,,,7.76,,,,yes,0.9,familiarity,"stress is via amplitude, lengthening and pitch; in 'vs' conditions it's word final; in ""+"" conditions it's word-intial",yes
JohnsonSeidl2009,"Johnson, E. K., Seidl, A. H. (2009) At 11 months, prosody still outranks statistics. Developmental Science 12:1 pp 131-141",Johnson & Seidl (2009),yes,yes,GG,no,conflicting additional cues,1,2,stress vs TP,American English,,artificial,native,,natural,stress,yes,yes,typical,11.00525624,335,,38.05,0.5,20,,,,7.5,5,"fussiness, sleepiness or parental interference","Language A: golaTU, daroPI, pabiku, tibudo; Language B: tudaro, pigola, bikuti, budopa","pabiku, tibudo, tudaro, pigola",3,273,1,0.33,no,150,12,19.785,HPP,familiarization,behavior,looking_time,within_two,7.79,2.7,8.6,2.5,,,4.82,,,,yes,0.75,novelty,"stress is via amplitude, lengthening and pitch; in 'vs' conditions it's word final; in ""+"" conditions it's word-intial",yes
JohnsonSeidl2009,"Johnson, E. K., Seidl, A. H. (2009) At 11 months, prosody still outranks statistics. Developmental Science 12:1 pp 131-141",Johnson & Seidl (2009),yes,yes,GG,half,additional cue,2,1,stress + TP,American English,,artificial,native,,natural,stress,no,no,typical,10.64388962,324,,38.05,0.4166666667,24,,,,1,1,fussiness,"Language A: golatu, daropi, pabiku, tibudo; Language B: tudaro, pigola, bikuti, budopa",,3,273,1,0.33,no,150,12,19.785,HPP,familiarization,behavior,looking_time,within_two,8.07,2.9,8.04,2.6,,,,,,0.84,no,0.46,familiarity,"stress is via amplitude, lengthening and pitch; in 'vs' conditions it's word final; in ""+"" conditions it's word-intial; this is not really a coordinating cue bc it's not truly trochaic.",yes
JohnsonSeidl2009,"Johnson, E. K., Seidl, A. H. (2009) At 11 months, prosody still outranks statistics. Developmental Science 12:1 pp 131-141",Johnson & Seidl (2009),yes,yes,GG,half,additional cue,3,1,stress + TP,American English,,artificial,native,,natural,stress,no,no,typical,10.84099869,330,,30.44,0.5666666667,15,,,,2,,fussiness or parental interference,"dimu, ludo, baro, gafi","ludo, gafi, muba, rodi",2,250,1,0-0.4,yes,,12,20,HPP,familiarization,behavior,looking_time,within_two,7.26,1.8,6.2,1.7,,-2.5,,,,0.03,yes,0.7333333333,familiarity,test items different recordings with no coarticulation cues,yes
JohnsonSeidl2009,"Johnson, E. K., Seidl, A. H. (2009) At 11 months, prosody still outranks statistics. Developmental Science 12:1 pp 131-141",Johnson & Seidl (2009),yes,yes,AKB,no,conflicting additional cues,3,2,stress vs TP,American English,,artificial,native,,natural,stress,no,yes,typical,10.84099869,330,,30.44,0.5666666667,15,,,,2,,fussiness or parental interference,"dimu, ludo, baro, gafi","ludo, gafi, muba, rodi",2,250,1,0-.4,yes,,12,20,HPP,familiarization,behavior,looking_time,within_two,7.1,1.8,8.3,2.2,,2.8,,,,0.01,yes,0.8666666667,novelty,test items different recordings with no coarticulation cues,yes
JohnsonTyler2010,"Johnson, E. K., & Tyler, M. D. (2010). Testing the limits of statistical learning for word segmentation. Developmental science, 13(2), 339-345.",Johnson & Tyler (2010),yes,yes,AKB,yes,NA,1,1,uniform 5 mo,Dutch,,aritificial,native,,MBROLA,none,,,typical,5.880420499,179,,34,0.4791666667,24,,,,4.5,2,"fussiness, refusal to look, parental/sibling interference",each infant heard own language,disyllabic,2,273,?,?,yes,147,12,20.01,HPP,familiarization,behaviour,looking_time,within_two,7.44,2.057571384,8.38,2.400499948,,,,,,,,0.6666666667,novelty,"There was no main effect of age, F(1,92) = 0.14, or language type, F(1, 92) = 0.12, but there was a significant main effect of test item type, F(1,92) = 4.93, ηp 2 = .05, such that orientation times were longer overall for partwords than words. Importantly, there was a significant two-way interaction between language type and test item, F(1,92) = 8.62, ηp 2 = .09, but no three-way interaction between those two factors and age, F(1,92) = 0.07. A simple effects test (Winer, Brown, & Michels, 1991) showed infants, collapsed across age, oriented longer to partwords than words in the UWL condition (F(1,92) = 13.30, ηp 2 = .13), but not in the MWL condition (F(1,92) = 0.26).",yes
